Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
0.13,-45,-24,-23,-67,-43,0,78640,78640,126873,-52,-12,-19
0.20,-43,-26,-15,-67,-40,0,-84,-38,-38,-50,-9,-15
0.25,-38,-26,-27,-69,-45,3,-81,-33,-38,-50,-14,-11
0.34,-40,-24,-15,-67,-45,0,-81,-33,-34,-52,-9,-11
0.39,-5,5,4,-2,-5,3,-5,-3,0,-2,-3,-8
0.44,2,0,-11,3,2,3,-3,-3,0,-5,-3,-4
0.47,-5,0,0,-2,-5,3,-5,-3,0,-2,-3,-4
0.52,-2,5,-4,0,-5,0,-8,-5,0,0,2,-4
0.56,-5,3,0,5,-7,-4,-10,-7,0,-2,-3,-12
0.61,-5,-4,4,-7,-5,-8,-12,0,4,-2,-3,-4
0.66,-2,-2,0,3,0,-4,-8,-5,0,-2,-3,-4
0.71,-2,-2,4,-2,-5,-12,-5,-5,-4,-5,-3,-12
0.76,-5,-4,0,3,-2,0,-8,0,-4,-2,0,0
0.81,-2,3,0,3,-5,3,-8,-3,4,-5,2,-4
0.86,-5,-2,0,0,-5,3,-12,-3,0,-2,0,4
0.89,0,0,4,0,-7,-4,-10,-5,0,-5,0,-4
0.94,-5,-2,0,-2,-5,-4,-8,-3,0,-2,-3,-8
0.99,-5,-2,4,3,-2,0,-5,-5,4,-5,2,-8
1.03,-7,3,4,5,-2,0,-5,-3,0,0,0,-8
1.08,0,-2,-4,0,-5,0,-5,-3,-8,-5,0,-8
1.13,-7,0,0,-5,-5,0,-8,-5,-4,-2,-3,0
1.17,0,0,0,3,-5,-4,-3,-3,0,-2,0,-4
1.21,-7,-2,0,3,-5,3,-8,-3,-4,-2,0,-4
1.26,-2,-2,4,0,-2,-4,-5,0,0,0,0,4
1.31,-2,-4,0,0,-2,0,-5,-3,0,-5,0,0
1.36,0,0,0,0,-5,0,-8,0,-8,-2,-3,4
1.41,-2,-2,0,3,-7,0,-10,-5,0,0,0,0
1.46,-2,3,0,5,0,-8,-8,-3,-4,-5,-3,0
1.49,0,3,4,0,-5,3,-12,-3,0,0,-3,-4
1.53,-2,3,0,0,-2,0,-8,-5,0,-2,-5,-4
1.58,-7,-2,0,3,-5,0,-8,-3,0,-5,-3,-4
1.63,-5,0,-4,3,-7,0,-3,0,0,-2,0,0
1.68,-2,3,-4,3,-5,-4,-8,-3,0,0,2,-4
1.73,0,5,4,3,-7,0,-10,-7,-8,2,0,-8
1.78,-2,0,0,3,-5,-4,-8,-3,0,-7,2,-4
1.83,0,-2,0,0,-5,0,-3,-3,0,-2,2,-4
1.88,0,5,0,3,-5,0,-8,-5,0,0,-3,-8
1.93,0,-2,0,3,-2,0,-5,2,4,-7,2,-4
1.98,-5,0,0,0,-5,-8,-8,-5,0,-2,0,-4
2.03,-5,-2,4,-2,0,-8,-3,0,4,-2,-3,-8
2.08,-5,0,0,-2,-7,3,-8,0,0,-2,-3,0
2.13,-7,-2,-4,3,-5,3,-8,0,4,-2,0,-8
